exp_id,scenario,alpha,replicate,t,rho,A_true,A_obs,rho_base,pert_on,pert_off,rho_pert
1,S1,0.7,7,16.0,0.35,1.9654639524475739,1.9615649137055589,0.35,3.0,5.0,0.2
1,S1,0.7,7,17.0,0.35,1.9701227286240504,1.9740071780451296,0.35,3.0,5.0,0.2
1,S1,0.7,7,18.0,0.35,1.9738473320389072,1.9733196865072296,0.35,3.0,5.0,0.2
1,S1,0.7,7,19.0,0.35,1.9768720750200264,1.9847293147965366,0.35,3.0,5.0,0.2
1,S1,0.7,7,20.0,0.35,1.9793623518484058,1.9559432246703807,0.35,3.0,5.0,0.2
1,S1,0.7,8,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,8,1.0,0.35,1.9992576234778643,2.0016226576578835,0.35,3.0,5.0,0.2
1,S1,0.7,8,2.0,0.35,1.9990462441818124,1.9932738041235365,0.35,3.0,5.0,0.2
1,S1,0.7,8,3.0,0.2,1.9449703154100673,1.9360750665802549,0.35,3.0,5.0,0.2
1,S1,0.7,8,4.0,0.2,0.9231180080355952,0.9242286012536954,0.35,3.0,5.0,0.2
1,S1,0.7,8,5.0,0.2,0.6186233410609887,0.6163616366643286,0.35,3.0,5.0,0.2
1,S1,0.7,8,6.0,0.35,1.3083540996514522,1.3274678177186563,0.35,3.0,5.0,0.2
1,S1,0.7,8,7.0,0.35,1.6058594317932429,1.6058444823792304,0.35,3.0,5.0,0.2
1,S1,0.7,8,8.0,0.35,1.7514871281482294,1.7482960228635125,0.35,3.0,5.0,0.2
1,S1,0.7,8,9.0,0.35,1.8305147798041146,1.8452489834851233,0.35,3.0,5.0,0.2
1,S1,0.7,8,10.0,0.35,1.8774290504326,1.9006146033392621,0.35,3.0,5.0,0.2
1,S1,0.7,8,11.0,0.35,1.90730300193543,1.9059881431894463,0.35,3.0,5.0,0.2
1,S1,0.7,8,12.0,0.35,1.9274001416421445,1.9131818288746256,0.35,3.0,5.0,0.2
1,S1,0.7,8,13.0,0.35,1.9415255289631626,1.9354331598322811,0.35,3.0,5.0,0.2
1,S1,0.7,8,14.0,0.35,1.9518135455195593,1.941869087182424,0.35,3.0,5.0,0.2
1,S1,0.7,8,15.0,0.35,1.9595305867333521,1.9582541056741283,0.35,3.0,5.0,0.2
1,S1,0.7,8,16.0,0.35,1.9654639524475739,1.9530027956551939,0.35,3.0,5.0,0.2
1,S1,0.7,8,17.0,0.35,1.9701227286240504,1.9654420532565682,0.35,3.0,5.0,0.2
1,S1,0.7,8,18.0,0.35,1.9738473320389072,1.9663158808284644,0.35,3.0,5.0,0.2
1,S1,0.7,8,19.0,0.35,1.9768720750200264,1.9728075592282828,0.35,3.0,5.0,0.2
1,S1,0.7,8,20.0,0.35,1.9793623518484058,1.965867018736055,0.35,3.0,5.0,0.2
1,S1,0.7,9,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,9,1.0,0.35,1.9992576234778643,2.0161531160011004,0.35,3.0,5.0,0.2
1,S1,0.7,9,2.0,0.35,1.9990462441818124,2.001906917373771,0.35,3.0,5.0,0.2
1,S1,0.7,9,3.0,0.2,1.9449703154100673,1.9373065847424078,0.35,3.0,5.0,0.2
1,S1,0.7,9,4.0,0.2,0.9231180080355952,0.9333199070399535,0.35,3.0,5.0,0.2
1,S1,0.7,9,5.0,0.2,0.6186233410609887,0.6190413561866062,0.35,3.0,5.0,0.2
1,S1,0.7,9,6.0,0.35,1.3083540996514522,1.3095333223757772,0.35,3.0,5.0,0.2
1,S1,0.7,9,7.0,0.35,1.6058594317932429,1.6279116983910218,0.35,3.0,5.0,0.2
1,S1,0.7,9,8.0,0.35,1.7514871281482294,1.7648164755918179,0.35,3.0,5.0,0.2
1,S1,0.7,9,9.0,0.35,1.8305147798041146,1.8307953831634811,0.35,3.0,5.0,0.2
1,S1,0.7,9,10.0,0.35,1.8774290504326,1.8934933524141417,0.35,3.0,5.0,0.2
1,S1,0.7,9,11.0,0.35,1.90730300193543,1.898309262507725,0.35,3.0,5.0,0.2
1,S1,0.7,9,12.0,0.35,1.9274001416421445,1.9275574129385677,0.35,3.0,5.0,0.2
1,S1,0.7,9,13.0,0.35,1.9415255289631626,1.956583569004018,0.35,3.0,5.0,0.2
1,S1,0.7,9,14.0,0.35,1.9518135455195593,1.9479165203383837,0.35,3.0,5.0,0.2
1,S1,0.7,9,15.0,0.35,1.9595305867333521,1.9390870097751502,0.35,3.0,5.0,0.2
1,S1,0.7,9,16.0,0.35,1.9654639524475739,1.968237828149977,0.35,3.0,5.0,0.2
1,S1,0.7,9,17.0,0.35,1.9701227286240504,1.9694278538808716,0.35,3.0,5.0,0.2
1,S1,0.7,9,18.0,0.35,1.9738473320389072,1.9721222773806777,0.35,3.0,5.0,0.2
1,S1,0.7,9,19.0,0.35,1.9768720750200264,1.9607969243748953,0.35,3.0,5.0,0.2
1,S1,0.7,9,20.0,0.35,1.9793623518484058,1.9736144517278154,0.35,3.0,5.0,0.2
1,S1,0.7,10,0.0,0.35,2.0,2.0,0.35,3.0,5.0,0.2
1,S1,0.7,10,1.0,0.35,1.9992576234778643,2.009700633947216,0.35,3.0,5.0,0.2
1,S1,0.7,10,2.0,0.35,1.9990462441818124,1.997407654236644,0.35,3.0,5.0,0.2
1,S1,0.7,10,3.0,0.2,1.9449703154100673,1.9583103172650789,0.35,3.0,5.0,0.2
1,S1,0.7,10,4.0,0.2,0.9231180080355952,0.931712580560205,0.35,3.0,5.0,0.2
1,S1,0.7,10,5.0,0.2,0.6186233410609887,0.6279035178254249,0.35,3.0,5.0,0.2
1,S1,0.7,10,6.0,0.35,1.3083540996514522,1.3210657906050616,0.35,3.0,5.0,0.2
1,S1,0.7,10,7.0,0.35,1.6058594317932429,1.6097616531630496,0.35,3.0,5.0,0.2
1,S1,0.7,10,8.0,0.35,1.7514871281482294,1.7424589667954753,0.35,3.0,5.0,0.2
1,S1,0.7,10,9.0,0.35,1.8305147798041146,1.827124464311611,0.35,3.0,5.0,0.2
1,S1,0.7,10,10.0,0.35,1.8774290504326,1.8792006237857481,0.35,3.0,5.0,0.2
1,S1,0.7,10,11.0,0.35,1.90730300193543,1.9137331353711342,0.35,3.0,5.0,0.2
1,S1,0.7,10,12.0,0.35,1.9274001416421445,1.9338268222331711,0.35,3.0,5.0,0.2
1,S1,0.7,10,13.0,0.35,1.9415255289631626,1.9309361747493454,0.35,3.0,5.0,0.2
1,S1,0.7,10,14.0,0.35,1.9518135455195593,1.9480782805594608,0.35,3.0,5.0,0.2
1,S1,0.7,10,15.0,0.35,1.9595305867333521,1.967812986579846,0.35,3.0,5.0,0.2
1,S1,0.7,10,16.0,0.35,1.9654639524475739,1.9541507382474466,0.35,3.0,5.0,0.2
1,S1,0.7,10,17.0,0.35,1.9701227286240504,1.9631586616929024,0.35,3.0,5.0,0.2
1,S1,0.7,10,18.0,0.35,1.9738473320389072,1.9724594116610192,0.35,3.0,5.0,0.2
1,S1,0.7,10,19.0,0.35,1.9768720750200264,1.9678945296658963,0.35,3.0,5.0,0.2
1,S1,0.7,10,20.0,0.35,1.9793623518484058,1.9753745380296408,0.35,3.0,5.0,0.2
