exp_id,scenario,alpha,replicate,t,rho,A_true,A_obs,rho_base,pert_on,pert_off,rho_pert
5,S2,0.8,1,3.0,0.55,0.05633264767203778,0.08507534554863302,0.4,3.0,5.0,0.55
5,S2,0.8,1,4.0,0.55,0.0753887028579308,0.028108474834465158,0.4,3.0,5.0,0.55
5,S2,0.8,1,5.0,0.55,0.08676324928646781,0.103569050553048,0.4,3.0,5.0,0.55
5,S2,0.8,1,6.0,0.4,0.06927384140173287,0.10348083333062781,0.4,3.0,5.0,0.55
5,S2,0.8,1,7.0,0.4,0.06386974551576545,0.05896180174791131,0.4,3.0,5.0,0.55
5,S2,0.8,1,8.0,0.4,0.06132937917838345,0.08714871781315092,0.4,3.0,5.0,0.55
5,S2,0.8,1,9.0,0.4,0.05997788815611766,0.02358770383367336,0.4,3.0,5.0,0.55
5,S2,0.8,1,10.0,0.4,0.059200403825633637,-0.0014547159871678012,0.4,3.0,5.0,0.55
5,S2,0.8,1,11.0,0.4,0.05872663652688516,0.019249964022622176,0.4,3.0,5.0,0.55
5,S2,0.8,1,12.0,0.4,0.05842458483126294,0.09385757123131663,0.4,3.0,5.0,0.55
5,S2,0.8,1,13.0,0.4,0.05822479798785425,0.014934765577084369,0.4,3.0,5.0,0.55
5,S2,0.8,1,14.0,0.4,0.058088565451549994,0.025374438776945174,0.4,3.0,5.0,0.55
5,S2,0.8,1,15.0,0.4,0.05799327229889189,0.06514097101454573,0.4,3.0,5.0,0.55
5,S2,0.8,2,0.0,0.4,0.05,0.0266665028979678,0.4,3.0,5.0,0.55
5,S2,0.8,2,1.0,0.4,0.05393363378053696,0.0789248572465624,0.4,3.0,5.0,0.55
5,S2,0.8,2,2.0,0.4,0.05530217874274814,0.029145769100379134,0.4,3.0,5.0,0.55
5,S2,0.8,2,3.0,0.55,0.05633264767203778,0.017625205446092654,0.4,3.0,5.0,0.55
5,S2,0.8,2,4.0,0.55,0.0753887028579308,0.01610283483890461,0.4,3.0,5.0,0.55
5,S2,0.8,2,5.0,0.55,0.08676324928646781,0.08056719522255282,0.4,3.0,5.0,0.55
5,S2,0.8,2,6.0,0.4,0.06927384140173287,0.03653889541985642,0.4,3.0,5.0,0.55
5,S2,0.8,2,7.0,0.4,0.06386974551576545,0.03326240796856858,0.4,3.0,5.0,0.55
5,S2,0.8,2,8.0,0.4,0.06132937917838345,-0.008810526239763514,0.4,3.0,5.0,0.55
5,S2,0.8,2,9.0,0.4,0.05997788815611766,0.027626609715210096,0.4,3.0,5.0,0.55
5,S2,0.8,2,10.0,0.4,0.059200403825633637,0.06634519709031185,0.4,3.0,5.0,0.55
5,S2,0.8,2,11.0,0.4,0.05872663652688516,0.03503878689781127,0.4,3.0,5.0,0.55
5,S2,0.8,2,12.0,0.4,0.05842458483126294,0.04839858036187937,0.4,3.0,5.0,0.55
5,S2,0.8,2,13.0,0.4,0.05822479798785425,0.07438950630946864,0.4,3.0,5.0,0.55
5,S2,0.8,2,14.0,0.4,0.058088565451549994,0.07392512025739287,0.4,3.0,5.0,0.55
5,S2,0.8,2,15.0,0.4,0.05799327229889189,0.0647683255177307,0.4,3.0,5.0,0.55
5,S2,0.8,3,0.0,0.4,0.05,0.03778815580037589,0.4,3.0,5.0,0.55
5,S2,0.8,3,1.0,0.4,0.05393363378053696,0.0648626900809251,0.4,3.0,5.0,0.55
5,S2,0.8,3,2.0,0.4,0.05530217874274814,0.10408326308899421,0.4,3.0,5.0,0.55
5,S2,0.8,3,3.0,0.55,0.05633264767203778,0.051985332805573714,0.4,3.0,5.0,0.55
5,S2,0.8,3,4.0,0.55,0.0753887028579308,0.09296577202283024,0.4,3.0,5.0,0.55
5,S2,0.8,3,5.0,0.55,0.08676324928646781,0.07699221619755466,0.4,3.0,5.0,0.55
5,S2,0.8,3,6.0,0.4,0.06927384140173287,0.06785636002515756,0.4,3.0,5.0,0.55
5,S2,0.8,3,7.0,0.4,0.06386974551576545,0.03309446707830489,0.4,3.0,5.0,0.55
5,S2,0.8,3,8.0,0.4,0.06132937917838345,0.06269584189416656,0.4,3.0,5.0,0.55
