run,b,ic,t,x,sigma
13,0.2,0.0531938268203712,0.6,5.75702158526081,0.01
13,0.2,0.0531938268203712,0.61,5.75193511614293,0.01
13,0.2,0.0531938268203712,0.62,5.74987402391387,0.01
13,0.2,0.0531938268203712,0.63,5.74840310264278,0.01
13,0.2,0.0531938268203712,0.64,5.74727917204485,0.01
13,0.2,0.0531938268203712,0.65,5.74898973723421,0.01
13,0.2,0.0531938268203712,0.66,5.74832236605864,0.01
13,0.2,0.0531938268203712,0.67,5.7486151172681,0.01
13,0.2,0.0531938268203712,0.68,5.74978566954964,0.01
13,0.2,0.0531938268203712,0.69,5.75136143201499,0.01
13,0.2,0.0531938268203712,0.7,5.74989171513733,0.01
13,0.2,0.0531938268203712,0.71,5.74716520467807,0.01
13,0.2,0.0531938268203712,0.72,5.74818377061956,0.01
13,0.2,0.0531938268203712,0.73,5.74724978592043,0.01
13,0.2,0.0531938268203712,0.74,5.74842406408695,0.01
13,0.2,0.0531938268203712,0.75,5.74854884834057,0.01
13,0.2,0.0531938268203712,0.76,5.74738855743916,0.01
13,0.2,0.0531938268203712,0.77,5.74738311515607,0.01
13,0.2,0.0531938268203712,0.78,5.74759150470067,0.01
13,0.2,0.0531938268203712,0.79,5.74655863530063,0.01
13,0.2,0.0531938268203712,0.8,5.74719526865961,0.01
13,0.2,0.0531938268203712,0.81,5.74558649384912,0.01
13,0.2,0.0531938268203712,0.82,5.74647921413838,0.01
13,0.2,0.0531938268203712,0.83,5.74681973247008,0.01
13,0.2,0.0531938268203712,0.84,5.74646960794433,0.01
13,0.2,0.0531938268203712,0.85,5.7470053038248,0.01
13,0.2,0.0531938268203712,0.86,5.74554157521074,0.01
13,0.2,0.0531938268203712,0.87,5.74535910417351,0.01
13,0.2,0.0531938268203712,0.88,5.74469373272837,0.01
13,0.2,0.0531938268203712,0.89,5.74703922664066,0.01
13,0.2,0.0531938268203712,0.9,5.74795812910694,0.01
13,0.2,0.0531938268203712,0.91,5.74772566659022,0.01
13,0.2,0.0531938268203712,0.92,5.74846928377699,0.01
13,0.2,0.0531938268203712,0.93,5.746945836067,0.01
13,0.2,0.0531938268203712,0.94,5.74748188070221,0.01
13,0.2,0.0531938268203712,0.95,5.74772091193485,0.01
13,0.2,0.0531938268203712,0.96,5.74827890782189,0.01
13,0.2,0.0531938268203712,0.97,5.74766559430764,0.01
13,0.2,0.0531938268203712,0.98,5.74708387516913,0.01
13,0.2,0.0531938268203712,0.99,5.74655187647065,0.01
13,0.2,0.0531938268203712,1,5.7465173293907,0.01
13,0.2,0.0531938268203712,1.01,5.74733092397708,0.01
13,0.2,0.0531938268203712,1.02,5.74718060841355,0.01
13,0.2,0.0531938268203712,1.03,5.74684250403136,0.01
13,0.2,0.0531938268203712,1.04,5.74616955958311,0.01
13,0.2,0.0531938268203712,1.05,5.74757706608387,0.01
13,0.2,0.0531938268203712,1.06,5.75014203105518,0.01
13,0.2,0.0531938268203712,1.07,5.75000133706449,0.01
13,0.2,0.0531938268203712,1.08,5.75065757736967,0.01
13,0.2,0.0531938268203712,1.09,5.74896848062103,0.01
13,0.2,0.0531938268203712,1.1,5.7473187416196,0.01
13,0.2,0.0531938268203712,1.11,5.74826199781096,0.01
13,0.2,0.0531938268203712,1.12,5.74927861224352,0.01
13,0.2,0.0531938268203712,1.13,5.75009374547011,0.01
13,0.2,0.0531938268203712,1.14,5.74882609010693,0.01
13,0.2,0.0531938268203712,1.15,5.74788170842591,0.01
13,0.2,0.0531938268203712,1.16,5.74671732179548,0.01
13,0.2,0.0531938268203712,1.17,5.74690029827089,0.01
13,0.2,0.0531938268203712,1.18,5.748207029754,0.01
13,0.2,0.0531938268203712,1.19,5.74881451372567,0.01
13,0.2,0.0531938268203712,1.2,5.74877965289904,0.01
13,0.2,0.0531938268203712,1.21,5.74776035262578,0.01
13,0.2,0.0531938268203712,1.22,5.7473796761844,0.01
13,0.2,0.0531938268203712,1.23,5.74732761720193,0.01
13,0.2,0.0531938268203712,1.24,5.74787490487271,0.01
13,0.2,0.0531938268203712,1.25,5.74763740386015,0.01
13,0.2,0.0531938268203712,1.26,5.74646935172843,0.01
13,0.2,0.0531938268203712,1.27,5.74529689741904,0.01
13,0.2,0.0531938268203712,1.28,5.74547331353683,0.01
13,0.2,0.0531938268203712,1.29,5.74658069401154,0.01
13,0.2,0.0531938268203712,1.3,5.74710572006139,0.01
13,0.2,0.0531938268203712,1.31,5.74896457191628,0.01
13,0.2,0.0531938268203712,1.32,5.74782902159901,0.01
13,0.2,0.0531938268203712,1.33,5.7469763823612,0.01
13,0.2,0.0531938268203712,1.34,5.74648478323505,0.01
13,0.2,0.0531938268203712,1.35,5.74456757548888,0.01
13,0.2,0.0531938268203712,1.36,5.74639929226255,0.01
13,0.2,0.0531938268203712,1.37,5.74786008683697,0.01
13,0.2,0.0531938268203712,1.38,5.74699053594632,0.01
13,0.2,0.0531938268203712,1.39,5.74933654427506,0.01
